area,territory
Rangpur,Gaibandha
Rangpur,Rangpur-1
Rangpur,Rangpur-2
Rangpur,Ghoraghat
Rangpur,Birampur
lalmonirhat,Kurigram
lalmonirhat,Nageshwari
lalmonirhat,Lalmonirhat-1
lalmonirhat,Lalmonirhat-2
Thakurgaon,Panchagarh-1
Thakurgaon,Panchagarh-2
Thakurgaon,Thakurgaon-1
Thakurgaon,Thakurgaon-2
Dinajpur,Nilphamari
Dinajpur,Dinajpur
Dinajpur,Pirganj
Dinajpur,Setabgonj
Dinajpur,Birgonj
Bogura,Bogura
Bogura,Joypurhat
Bogura,Sirajgonj
Bogura,Natore
Bogura,Chatmohor
Naogaon,Naogaon-1
Naogaon,Naogaon-02
Naogaon,Naogaon-03
Naogaon,Chapainawabgonj-02
Rajshahi,Chapainawabgonj-01
Rajshahi,Rajshahi
Rajshahi,Puthia
Rajshahi,Ishurdi
Rajshahi,Pabna
Jasshore,Jashore
Jasshore,Magura
Jasshore,Satkhira
Jasshore,Khulna
Chuadanga,Jhenaidah
Chuadanga,Meherpur
Chuadanga,Chuadanga
Chuadanga,Kushtia
Faridpur,Faridpur
Faridpur,Madaripur
Faridpur,Gopalgonj
Barishal,Barishal
Barishal,Barguna
Barishal,Bhola
Barishal,Charfassion
Mymensingh,Mymensingh
Mymensingh,Sherpur
Mymensingh,Natrokona
Jamalpur,Bakshiganj
Jamalpur,Jamalpur
Jamalpur,Tangail
Jamalpur,Modhupur
Kishoregonj,Kishorgonj-1
Kishoregonj,Kishorgonj-2
Kishoregonj,Norshingdhi
Kishoregonj,Goforgaon
Dhaka,Gazipur
Dhaka,Manikganj-1
Dhaka,Manikganj-2
Dhaka,Munshiganj
Cumilla,Cumilla-1
Cumilla,Cumilla-2
Cumilla,Cumilla-3
Noakhali,Laxmipur
Noakhali,Feni
Noakhali,Noakhali
Chittagong,Fatikchhari
Chittagong,Chattogram
Chittagong,Cox'sbazar
Sylhet,Sylhet-01
Sylhet,Sylhet 02
Habigonj,Moulvibazar
Habigonj,Habiganj
Habigonj,B.Baria
Habigonj,kasba
